Edad,Género,País de Residencia,Ciudad de Residencia (EEUU),Trabajo Autónomo,Historial Familiar,Búsqueda de Tratamiento con un Profesional,Cantidad de Empleados en la Empresa,Beneficios Dentro de Seguro Médico,Problemas de Salud Mental en Entrevista Laboral,Conocimiento de las Opciones de Cobertura por la Empresa Actual,Recursos de la Empresa Para Conocer sobre la Salud Mental y Canales de Ayuda,Facilidad de Consulta de Baja Médica en el Trabajo,Comodidad para Hablar de una Enfermedad Mental con Compañeros de Trabajo,Comodidad para Hablar de una Enfermedad Mental con un Director/Supervisor,Cobertura de Salud Mental en Seguro Médico,Beneficios de Salud Mental de Empleos Anteriores,Conocimiento de las Opciones de Ayuda por el Empleo Anterior,Protección de Anonimato Si Se Toma Ventaja de los Recursos de Tratamiento en Empleos Anteriores,Disposición de Hablar de Salud Mental con un Supervisor,Disposición para Hablar Sobre Enfermedad Mental con Familia/Amigos,Seguridad de Revelar Enfermedad Mental Debido a Comentario Sobre Salud Mental de Otra Persona,Situación Mental Actual,¿Alguna Vez Has Sido Diagnosticado con una Enfermedad Mental?,Nivel de Interferencia en el Trabajo Cuando Se Está Bajo Tratamiento,Nivel de Interferencia en el Trabajo Cuando No Se Está Bajo Tratamiento,Disposición a Revelar Enfermedad Mental a Empleados/Compañeros,Productividad Afectada Por Enfermedad Mental,Porcentaje de Tiempo Afectada Por Enfermedad Mental,¿Has Observado o Experimentado una Respuesta Insolidaria o Mal Gestionada a un Problema de Salud Mental en tu Lugar de Trabajo Actual o Anterior?,Importancia a la Salud Mental (Empresa),¿Cómo Afectó la Relación con Alguien de tu Trabajo el Haberle Contado sobre tu Enfermedad Mental?,¿Te Identificas Abiertamente en el Trabajo como una Persona con una Enfermedad Mental?,¿Tu Carrera Se Ha Visto Afectada por Tener una Enfermedad Mental?,"Si Supieran Que Padeces un Trastorno Mental, ¿Cómo Crees Que Reaccionarían los Miembros de tu Equipo/Compañeros de Trabajo?",¿Has Observado o Experimentado una Respuesta Positiva De Compañeros/Jefes al Saber que Tienes una Enfermedad Mental?,¿En qué Medida Cree que el Sector Tecnológico Apoya a los Empleados con Enfermedades Mentales?,Raza
45,Masculino,Estados Unidos,Wisconsin,No,No sé,Si,100-500,Si,No,No,No,Muy fácil,No,No,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre","No, con ninguno de mis supervisores anteriores",Dispuesto(a),No,Seguramente si,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,"Si, lo he visto",Muy poco importante,No respondió,No,No respondió,No creo que le(s) importe,No,Poco,Prefiero no responder
30,Masculino,Estados Unidos,Massachusetts,No,No,No,6-25,No lo sé,No,No,No lo sé,Difícil,Tal vez,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,No sé,Dispuesto(a),No respondió,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Normal,No,Más o menos,Blanco(a)
26,Masculino,Estados Unidos,Connecticut,Si,Si,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,"No, ninguno lo hizo","No, las conocí después",No,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No respondió,Si,Si,A veces,Raramente,"No, influiriá negativamente",No,No respondió,Tal vez/No estoy seguro(a),No respondió,No tengo una enfermedad mental,No,No respondió,Muy mal,No,Poco,Blanco(a)
32,Masculino,Estados Unidos,Rhode Island,No,No sé,No,26-100,Si,No,No,No lo sé,Más o menos,Tal vez,No,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Neutral,No respondió,Seguramente si,No respondió,No tengo una enfermedad mental,A veces,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,No,No respondió,No creo que le(s) importe,No,Más o menos,Blanco(a)
61,Masculino,Estados Unidos,Minnesota,No,No,Si,6-25,No elegible/Sin cobertura,No,No respondió,No,Difícil,No,No,No respondió,Algunos lo hicieron,"Si, las conocía",A veces,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),Si,Si,Si,A menudo,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Moderadamente importante,No respondió,No,No respondió,Sin comentarios,No,Nada,Blanco(a)
44,Masculino,Estados Unidos,Pensilvania,No,No sé,No,6-25,Si,No,Si,No lo sé,No sé,Si,No,No respondió,No sé,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Algo importante,No respondió,No,No respondió,Normal,Tal vez/No estoy seguro(a),Nada,Blanco(a)
32,Femenino,Estados Unidos,Oregon,Si,Si,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,"Si, todos lo hicieron","Si, las conocía","Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,A veces,A menudo,"Depende, si me lo preguntan",Si,26-50%,"Si, me ha pasado",No respondió,No estoy seguro(a),Si,Si,Normal,"Si, me ha pasado",Nada,Blanco(a)
30,Femenino,Estados Unidos,Rhode Island,No,No,Si,26-100,Si,No,No,Si,Más o menos,No,Si,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Dispuesto(a),No,Seguramente si,No respondió,Raramente,A veces,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,No creo que le(s) importe,"Si, me ha pasado",Poco,Blanco(a)
44,Otro,Estados Unidos,Washington,No,Si,Si,26-100,No lo sé,No,No,No,No sé,No,No,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Muy poco importante,No respondió,No,No respondió,Muy mal,No,Nada,Multiracial
39,Masculino,Estados Unidos,Washington,No,Si,Si,Más de 1000,No lo sé,No,Si,No,Muy fácil,Si,Si,No respondió,No respondió,No respondió,No respondió,No respondió,Muy dispuesto,Tal vez,Si,Si,Nunca,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Moderadamente importante,No respondió,No,No respondió,Me apoya(n) mucho,"Si, me ha pasado",Más o menos,Blanco(a)
39,Otro,Estados Unidos,Pensilvania,No,No sé,No,26-100,No lo sé,No,No,No,Difícil,Tal vez,No,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),No,No lo sé,No respondió,No tengo una enfermedad mental,A veces,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Muy mal,No,Poco,Blanco(a)
33,Otro,Estados Unidos,Georgia,No,Si,Si,Más de 1000,Si,No,Si,Si,Muy fácil,Si,Si,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,No,Algo importante,No respondió,No,No respondió,Muy bien,"Si, me ha pasado",Más o menos,Blanco(a)
37,Masculino,Estados Unidos,No respondió,Si,No sé,No,No respondió,No respondió,Tal vez,No respondió,No respondió,No respondió,No respondió,No respondió,Si,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Si,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No,No respondió,No tengo una enfermedad mental,No,No respondió,Indiferente,No,Poco,No respondió
42,Otro,Estados Unidos,Texas,No,Si,No,Más de 1000,No lo sé,No,No,No,Fácil,Si,No,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,No lo sé,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),No respondió,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,"Si, lo he visto",Moderadamente importante,No respondió,No,No respondió,Mal,No,Nada,Blanco(a)
35,Otro,Estados Unidos,Nueva York,No,Si,Si,100-500,Si,Tal vez,Si,Si,No sé,Si,Si,No respondió,Algunos lo hicieron,"Si, las conocía",A veces,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,No,Muy importante,No respondió,No,No respondió,Normal,"Si, lo he visto",Nada,Multiracial
28,Otro,Estados Unidos,Nueva York,No,Si,No,Más de 1000,Si,No,Si,Si,Muy fácil,Si,Si,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,No lo sé,Con algunos de mis jefes anteriores,Neutral,No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Importante,No respondió,No,No respondió,Normal,"Si, lo he visto",Más o menos,Blanco(a)
37,Otro,Estados Unidos,Georgia,No,Si,Si,100-500,Si,Tal vez,Si,No lo sé,Difícil,Tal vez,Si,No respondió,No respondió,No respondió,No respondió,No respondió,Muy dispuesto,No,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Normal,No,Lo suficiente,Blanco(a)
35,Otro,Estados Unidos,Florida,No,Si,Si,500-1000,No lo sé,No,Si,No,Fácil,No,No,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,No,Con algunos de mis jefes anteriores,Muy dispuesto,Si,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Medianamente importante,No respondió,No,No respondió,Muy mal,Tal vez/No estoy seguro(a),Más o menos,No respondió
31,Otro,Estados Unidos,Nueva York,No,No,No,6-25,No lo sé,Tal vez,No,No lo sé,No sé,Tal vez,No,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,No lo sé,No sé,Neutral,No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Muy poco importante,No respondió,No,No respondió,No creo que le(s) importe,No,Poco,No respondió
24,Masculino,Estados Unidos,Pensilvania,Si,No sé,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,No respondió,No respondió,No respondió,No respondió,Muy dispuesto,No,No lo sé,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No tengo una enfermedad mental,No estoy seguro(a),No respondió,No,No respondió,No tengo una enfermedad mental,No,No respondió,Me apoya(n) mucho,"Si, me ha pasado",Nada,No respondió
27,Femenino,Estados Unidos,Texas,No,No,No,500-1000,Si,No,No,No,Difícil,No,Tal vez,No respondió,No respondió,No respondió,No respondió,No respondió,Neutral,Si,No,No respondió,Raramente,Nunca,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,No creo que le(s) importe,Tal vez/No estoy seguro(a),Lo suficiente,Asiático(a)
36,Masculino,Estados Unidos,Nueva York,No,Si,Si,Más de 1000,Si,No,No,Si,Muy fácil,Si,Si,No respondió,Algunos lo hicieron,Conocía algunas,A veces,Con algunos de mis jefes anteriores,Muy dispuesto,No,No,No respondió,Raramente,A veces,No respondió,No respondió,No respondió,"Si, lo he visto",Muy importante,No respondió,No,No respondió,Me entiende(n),"Si, me ha pasado",Lo suficiente,Blanco(a)
33,Otro,Estados Unidos,California,No,No,Si,6-25,No lo sé,Tal vez,No,No lo sé,Fácil,Tal vez,Si,No respondió,"Si, todos lo hicieron",Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,No,No,No respondió,Raramente,Raramente,No respondió,No respondió,No respondió,No,Moderadamente importante,No respondió,No,No respondió,Normal,No,Más o menos,Blanco(a)
26,Masculino,Estados Unidos,Nueva York,Si,Si,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,No,No sé,Conocía muy pocas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No respondió,Si,Si,Raramente,A veces,"Depende, si me lo preguntan",Si,1-25%,"Si, me ha pasado",No respondió,No estoy seguro(a),No,No respondió,Indiferente,"Si, lo he visto",Poco,Multiracial
26,Masculino,Estados Unidos,Nueva York,No,No,No,Más de 1000,Si,No,Si,Si,Muy fácil,Tal vez,No,No respondió,No respondió,No respondió,No respondió,No respondió,No estoy dispuesto(a),No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,Muy bien,"Si, lo he visto",Lo suficiente,Blanco(a)
24,Masculino,Estados Unidos,Nueva York,No,No,Si,Más de 1000,No lo sé,No,No respondió,No,No sé,No,No,No respondió,No respondió,No respondió,No respondió,No respondió,Neutral,No,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Normal,No,Poco,Asiático(a)
34,Masculino,Estados Unidos,Washington,No,Si,Si,Más de 1000,Si,No,Si,Si,Fácil,Si,Si,No respondió,"Si, todos lo hicieron",Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,A menudo,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,Si,No,Muy bien,Tal vez/No estoy seguro(a),Lo suficiente,Blanco(a)
25,Masculino,Estados Unidos,Nueva York,No,No sé,No,26-100,Si,Tal vez,Si,No,No sé,No,No,No respondió,No respondió,No respondió,No respondió,No respondió,Neutral,Si,Seguramente si,No respondió,No tengo una enfermedad mental,Raramente,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Indiferente,No,Más o menos,No respondió
19,Otro,Estados Unidos,Nueva York,No,Si,Si,6-25,No lo sé,No,No,No,No sé,Tal vez,No,No respondió,No respondió,No respondió,No respondió,No respondió,Neutral,No respondió,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,No,Algo importante,No respondió,No,No respondió,Normal,No,Lo suficiente,Asiático(a)
28,Masculino,Estados Unidos,Massachusetts,No,No,No,26-100,Si,No,No,No lo sé,Difícil,No,No,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,No dispuesto(a),No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,"Si, me ha pasado",Moderadamente importante,No respondió,No,No respondió,Normal,"Si, me ha pasado",Poco,Asiático(a)
26,Otro,Estados Unidos,Washington,No,Si,Si,Más de 1000,Si,No,Si,No,Fácil,No,Si,No respondió,No respondió,No respondió,No respondió,No respondió,Muy dispuesto,Si,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Moderadamente importante,No respondió,No,No respondió,Indiferente,"Si, me ha pasado",Lo suficiente,Blanco(a)
23,Otro,Estados Unidos,Nuevo Hampshire,No,No sé,Si,500-1000,No lo sé,No,No,No,Difícil,No,Tal vez,No respondió,No respondió,No respondió,No respondió,No respondió,No estoy dispuesto(a),No,Si,Si,A menudo,A menudo,No respondió,No respondió,No respondió,No,Poco importante,No respondió,No,No respondió,Sin comentarios,No,Nada,Blanco(a)
46,Masculino,Estados Unidos,Alabama,No,Si,No,Más de 1000,Si,No,Si,Si,Fácil,Tal vez,Si,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,"Si, con todos mis supervisores anteriores",Muy dispuesto,No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Me entiende(n),"Si, lo he visto",Lo suficiente,Blanco(a)
28,Masculino,Estados Unidos,Missouri,No,No,No,6-25,No lo sé,No,No,No,Difícil,No,Si,No respondió,No respondió,No respondió,No respondió,No respondió,Dispuesto(a),No,Seguramente si,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Poco importante,No respondió,No,No respondió,Indiferente,Tal vez/No estoy seguro(a),Poco,Blanco(a)
30,Femenino,Estados Unidos,Indiana,No,No sé,Si,6-25,No lo sé,No,No,No,Fácil,Tal vez,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),No respondió,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Nada importante,No respondió,No,No respondió,No creo que le(s) importe,No,Nada,Blanco(a)
35,Masculino,Estados Unidos,Ohio,No,No sé,Si,100-500,Si,Tal vez,Si,Si,Más o menos,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Muy importante,No respondió,Si,Si,Me apoya(n),"Si, me ha pasado",Más o menos,Blanco(a)
26,Femenino,Estados Unidos,California,No,Si,Si,100-500,Si,No,Si,Si,No sé,No,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No,Si,Si,Nunca,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Medianamente importante,No respondió,No,No respondió,No creo que le(s) importe,No,Poco,Multiracial
57,Masculino,Estados Unidos,Illinois,No,Si,Si,Más de 1000,Si,No,Si,Si,No sé,Tal vez,Si,No respondió,No respondió,No respondió,No respondió,No respondió,Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Me entiende(n),"Si, me ha pasado",Más o menos,Blanco(a)
38,Masculino,Estados Unidos,Carolina del Norte,No,No,No,Más de 1000,Si,No,Si,Si,Fácil,No,Si,No respondió,Algunos lo hicieron,"Si, las conocía","Si, siempre",Con algunos de mis jefes anteriores,No estoy dispuesto(a),Si,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,Sin comentarios,"Si, lo he visto",Más o menos,Blanco(a)
41,Masculino,Estados Unidos,Florida,No,Si,No,6-25,No lo sé,Tal vez,No,No,Difícil,Tal vez,No,No respondió,No sé,Conocía muy pocas,No lo sé,Con algunos de mis jefes anteriores,No estoy dispuesto(a),No respondió,No lo sé,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Indiferente,No,Nada,Blanco(a)
43,Otro,Estados Unidos,Florida,No,Si,No,6-25,Si,No,No,No,Difícil,No,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,No estoy dispuesto(a),Si,Seguramente si,No respondió,No tengo una enfermedad mental,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Nada importante,No respondió,No,No respondió,Mal,No,Nada,Blanco(a)
35,Masculino,Estados Unidos,Pensilvania,No,No sé,Si,Más de 1000,Si,No,Si,Si,No sé,Tal vez,Si,No respondió,"Si, todos lo hicieron","No, las conocí después","Si, siempre","No, con ninguno de mis supervisores anteriores",Muy dispuesto,No,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,Me entiende(n),No,Más o menos,Blanco(a)
40,Otro,Estados Unidos,Pensilvania,No,Si,Si,6-25,No lo sé,No,No,No,Más o menos,Si,Si,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,Seguramente si,No respondió,Raramente,A veces,No respondió,No respondió,No respondió,"Si, lo he visto",Algo importante,No respondió,Si,No,Normal,"Si, me ha pasado",Más o menos,Blanco(a)
42,Masculino,Estados Unidos,Michigan,No,Si,Si,Más de 1000,Si,Tal vez,Si,Si,Muy fácil,Si,Si,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Algo importante,No respondió,No,No respondió,Me apoya(n) mucho,"Si, me ha pasado",Lo suficiente,Blanco(a)
39,Otro,Estados Unidos,Kansas,No,No,No,Más de 1000,Si,No,No,Si,Fácil,Tal vez,Tal vez,No respondió,No respondió,No respondió,No respondió,No respondió,No dispuesto(a),No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Poco importante,No respondió,No,No respondió,Muy bien,No,Más o menos,Blanco(a)
28,Masculino,Estados Unidos,Iowa,No,Si,Si,Más de 1000,Si,Tal vez,Si,Si,Más o menos,Tal vez,Si,No respondió,"Si, todos lo hicieron","Si, las conocía","Si, siempre","Si, con todos mis supervisores anteriores",Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Moderadamente importante,No respondió,No,No respondió,Normal,"Si, me ha pasado",Poco,Blanco(a)
29,Femenino,Estados Unidos,California,No,Si,Si,100-500,Si,No,Si,Si,Difícil,Si,No,No respondió,"Si, todos lo hicieron","Si, las conocía",No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,No,No respondió,Me entiende(n),"Si, me ha pasado",Poco,Blanco(a)
