Edad,Género,País de Residencia,Ciudad de Residencia (EEUU),Trabajo Autónomo,Antecedente Heredofamiliar,Búsqueda de Tratamiento con un Profesional,Cantidad de Empleados en la Empresa,Beneficios Dentro de Seguro Médico,Problemas de Salud Mental en Entrevista Laboral,Conocimiento de las Opciones de Cobertura por la Empresa Actual,Recursos de la Empresa Para Conocer sobre la Salud Mental y Canales de Ayuda,Facilidad de Consulta de Baja Médica en el Trabajo,Comodidad para Hablar de una Enfermedad Mental con Compañeros de Trabajo,Comodidad para Hablar de una Enfermedad Mental con un Director/Supervisor,Cobertura de Salud Mental en Seguro Médico,Beneficios de Salud Mental de Empleos Anteriores,Conocimiento de las Opciones de Ayuda por el Empleo Anterior,Protección de Anonimato Si Se Toma Ventaja de los Recursos de Tratamiento en Empleos Anteriores,Disposición de Hablar de Salud Mental con un Supervisor,Disposición para Hablar Sobre Enfermedad Mental con Familia/Amigos,Seguridad de Revelar Enfermedad Mental Debido a Comentario Sobre Salud Mental de Otra Persona,Situación Mental Actual,¿Alguna Vez Has Sido Diagnosticado con una Enfermedad Mental?,Nivel de Interferencia en el Trabajo Cuando Se Está Bajo Tratamiento,Nivel de Interferencia en el Trabajo Cuando No Se Está Bajo Tratamiento,Disposición a Revelar Enfermedad Mental a Empleados/Compañeros,Productividad Afectada Por Enfermedad Mental,Porcentaje de Tiempo Afectada Por Enfermedad Mental,¿Has Observado o Experimentado una Respuesta Insolidaria o Mal Gestionada a un Problema de Salud Mental en tu Lugar de Trabajo Actual o Anterior?,Importancia a la Salud Mental (Empresa),¿Cómo Afectó la Relación con Alguien de tu Trabajo el Haberle Contado sobre tu Enfermedad Mental?,¿Te Identificas Abiertamente en el Trabajo como una Persona con una Enfermedad Mental?,¿Tu Carrera Se Ha Visto Afectada por Tener una Enfermedad Mental?,"Si Supieran Que Padeces un Trastorno Mental, ¿Cómo Crees Que Reaccionarían los Miembros de tu Equipo/Compañeros de Trabajo?",¿Has Observado o Experimentado una Respuesta Positiva De Compañeros/Jefes al Saber que Tienes una Enfermedad Mental?,¿En qué Medida Cree que el Sector Tecnológico Apoya a los Empleados con Enfermedades Mentales?,Raza
28,Masculino,Estados Unidos,Ohio,No,No,Si,100-500,Si,No,No,No lo sé,Fácil,Tal vez,Si,No respondió,"Si, todos lo hicieron",Conocía algunas,No lo sé,"Si, con todos mis supervisores anteriores",Muy dispuesto,Si,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Moderadamente importante,No respondió,Si,No,Normal,Tal vez/No estoy seguro(a),Lo suficiente,Blanco(a)
53,Masculino,Estados Unidos,Illinois,Si,No,No,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,No sé,Conocía muy pocas,No lo sé,Con algunos de mis jefes anteriores,Dispuesto(a),No respondió,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No tengo una enfermedad mental,Si,1-25%,No,No respondió,No tengo una enfermedad mental,No,No respondió,Bien,No,Poco,Blanco(a)
37,Otro,Estados Unidos,Ohio,No,Si,Si,26-100,No lo sé,No,No,No,Difícil,Si,Si,No respondió,No respondió,No respondió,No respondió,No respondió,Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Poco importante,No respondió,Si,No,Muy bien,"Si, me ha pasado",Nada,Blanco(a)
66,Femenino,Estados Unidos,Oregon,No,Si,Si,Más de 1000,Si,No,No,No lo sé,Difícil,No,No,No respondió,Algunos lo hicieron,"Si, las conocía",No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Medianamente importante,No respondió,No,No respondió,No creo que le(s) importe,No,Poco,Blanco(a)
31,Otro,Estados Unidos,Ohio,No,Si,Si,100-500,Si,No,Si,No,Fácil,Tal vez,Tal vez,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,No lo sé,"No, con ninguno de mis supervisores anteriores",No dispuesto(a),Si,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Poco importante,No respondió,No,No respondió,Sin comentarios,"Si, me ha pasado",Más o menos,Blanco(a)
46,Masculino,Estados Unidos,Nueva York,Si,No sé,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,Algunos lo hicieron,"No, las conocí después",A veces,Con algunos de mis jefes anteriores,Muy dispuesto,Tal vez,Si,Si,Raramente,A veces,"Depende, si me lo preguntan",Si,26-50%,No,No respondió,No cambió,No,No respondió,No creo que le(s) importe,"Si, me ha pasado",Más o menos,Blanco(a)
30,Otro,Estados Unidos,California,No,Si,Si,100-500,Si,No,Si,No,Difícil,No,No,No respondió,Algunos lo hicieron,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No respondió,Si,Si,Raramente,A veces,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Indiferente,No,Más o menos,Blanco(a)
31,Masculino,Estados Unidos,Pensilvania,No,No sé,Si,100-500,Si,No,Si,No,Muy fácil,Tal vez,Tal vez,No respondió,"Si, todos lo hicieron","Si, las conocía","Si, siempre","Si, con todos mis supervisores anteriores",Muy dispuesto,No respondió,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,Indiferente,"Si, lo he visto",Lo suficiente,Negro(a) o Afroamericano(a)
28,Femenino,Estados Unidos,Tennessee,No,Si,Si,Más de 1000,No elegible/Sin cobertura,No,No,No lo sé,No sé,Tal vez,Tal vez,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,Tal vez,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,No,Poco importante,No respondió,No,No respondió,Normal,Tal vez/No estoy seguro(a),Más o menos,Multiracial
25,Masculino,Estados Unidos,Minnesota,No,No sé,Si,26-100,Si,Tal vez,Si,No,Difícil,Si,Si,No respondió,"Si, todos lo hicieron",Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,Tal vez,Si,Si,Raramente,A veces,No respondió,No respondió,No respondió,No,Nada importante,No respondió,No,No respondió,No creo que le(s) importe,"Si, me ha pasado",Más o menos,Blanco(a)
35,Masculino,Estados Unidos,Kansas,No,No sé,Si,100-500,Si,No,Si,Si,Fácil,No,Tal vez,No respondió,"No, ninguno lo hizo",No me ofrecieron ninguna,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Tal vez,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Bien,Tal vez/No estoy seguro(a),Poco,Blanco(a)
40,Otro,Estados Unidos,Colorado,No,No,No,100-500,Si,No,Si,No lo sé,Fácil,Si,Si,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No respondió,Seguramente si,No respondió,Raramente,Raramente,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Bien,No,Más o menos,Blanco(a)
32,Masculino,Estados Unidos,Virginia,No,No sé,No,100-500,No lo sé,Tal vez,No,No lo sé,Muy fácil,Tal vez,Si,No respondió,No sé,Conocía muy pocas,No lo sé,Con algunos de mis jefes anteriores,Dispuesto(a),No respondió,Si,Si,No tengo una enfermedad mental,A veces,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,No,No respondió,Muy bien,"Si, me ha pasado",Poco,Prefiero no responder
39,Masculino,Estados Unidos,Virginia,No,Si,Si,100-500,No lo sé,No,No,No lo sé,Más o menos,No,No,No respondió,"No, ninguno lo hizo",Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),No respondió,No,No respondió,Raramente,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Poco importante,No respondió,No,No respondió,No creo que le(s) importe,No,Poco,Prefiero no responder
33,Otro,Estados Unidos,Colorado,No,Si,Si,500-1000,Si,No,Si,No lo sé,No sé,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,No dispuesto(a),Tal vez,Si,Si,Nunca,A menudo,No respondió,No respondió,No respondió,No,Muy importante,No respondió,No,No respondió,Indiferente,Tal vez/No estoy seguro(a),Lo suficiente,Blanco(a)
40,Masculino,Estados Unidos,Virginia,No,No sé,Si,100-500,Si,No,Si,Si,Muy fácil,No,No,No respondió,"Si, todos lo hicieron","Si, las conocía","Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,No,Seguramente si,No respondió,A menudo,A menudo,No respondió,No respondió,No respondió,No,Importante,No respondió,No,No respondió,No creo que le(s) importe,No,Lo suficiente,Negro(a) o Afroamericano(a)
42,Otro,Estados Unidos,Minnesota,No,No sé,Si,500-1000,Si,Tal vez,No,No lo sé,Muy fácil,Tal vez,Si,No respondió,Algunos lo hicieron,"Si, las conocía",A veces,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,Raramente,A veces,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Moderadamente importante,No respondió,Si,No,Me apoya(n) mucho,Tal vez/No estoy seguro(a),Más o menos,Prefiero no responder
32,Masculino,Estados Unidos,Tennessee,No,Si,Si,Más de 1000,No lo sé,Tal vez,No,No lo sé,Difícil,No,No,No respondió,No sé,Conocía muy pocas,No lo sé,Con algunos de mis jefes anteriores,Dispuesto(a),No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,Bien,Tal vez/No estoy seguro(a),Más o menos,Blanco(a)
27,Femenino,Estados Unidos,Illinois,No,No sé,Si,Más de 1000,Si,No,Si,Si,Difícil,Tal vez,No,No respondió,"Si, todos lo hicieron","No, las conocí después",No,"Si, con todos mis supervisores anteriores",Muy dispuesto,Si,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Nada importante,No respondió,Si,Si,Muy mal,"Si, lo he visto",Más o menos,Blanco(a)
39,Otro,Estados Unidos,Minnesota,No,Si,Si,26-100,No lo sé,Tal vez,No,No,Difícil,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,No sé,Muy dispuesto,Tal vez,Si,Si,A veces,A veces,No respondió,No respondió,No respondió,No,Nada importante,No respondió,No,No respondió,No creo que le(s) importe,Tal vez/No estoy seguro(a),Poco,Blanco(a)
42,Femenino,Estados Unidos,Illinois,No,Si,Si,6-25,Si,No,No,No lo sé,No sé,Si,No,No respondió,"Si, todos lo hicieron",Conocía algunas,A veces,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,No,Algo importante,No respondió,No,No respondió,Me apoya(n),"Si, me ha pasado",Más o menos,Blanco(a)
38,Femenino,Estados Unidos,Wisconsin,No,Si,Si,500-1000,No lo sé,No,Si,No lo sé,Difícil,No,No,No respondió,"Si, todos lo hicieron",Conocía algunas,No lo sé,Con algunos de mis jefes anteriores,Dispuesto(a),Tal vez,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Poco importante,No respondió,Si,Si,Indiferente,No,Poco,Blanco(a)
45,Masculino,Estados Unidos,California,Si,No sé,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,"Si, todos lo hicieron","No, las conocí después",No lo sé,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),Tal vez,Seguramente si,No respondió,No tengo una enfermedad mental,A veces,"No, influiriá negativamente",Si,1-25%,Tal vez/No estoy seguro(a),No respondió,No tengo una enfermedad mental,No,No respondió,Muy mal,No,Poco,Blanco(a)
54,Femenino,Estados Unidos,Minnesota,Si,Si,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,Algunos lo hicieron,"Si, las conocía","Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,Si,Si,Si,A veces,A menudo,"Depende, si me lo preguntan",Si,1-25%,"Si, lo he visto",No respondió,No estoy seguro(a),No,No respondió,Indiferente,Tal vez/No estoy seguro(a),Poco,Blanco(a)
44,Femenino,Estados Unidos,Ohio,No,Si,Si,Más de 1000,Si,No,Si,Si,Más o menos,Si,No,No respondió,"Si, todos lo hicieron",Conocía algunas,No lo sé,"No, con ninguno de mis supervisores anteriores",No dispuesto(a),No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Poco importante,No respondió,No,No respondió,No creo que le(s) importe,"Si, me ha pasado",Poco,Blanco(a)
35,Otro,Estados Unidos,Washington,No,No sé,Si,6-25,No lo sé,No,No,No lo sé,Más o menos,Tal vez,Si,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,No estoy dispuesto(a),No,No,No respondió,A veces,A veces,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Indiferente,Tal vez/No estoy seguro(a),Lo suficiente,Blanco(a)
45,Masculino,Estados Unidos,Maryland,No,No,No,26-100,Si,No,Si,No,Muy fácil,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,"No, con ninguno de mis supervisores anteriores",Dispuesto(a),No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Poco importante,No respondió,No,No respondió,Bien,"Si, me ha pasado",Nada,Blanco(a)
23,Masculino,Estados Unidos,Minnesota,No,No sé,No,26-100,No lo sé,No,No,No,Fácil,Si,Si,No respondió,No respondió,No respondió,No respondió,No respondió,No dispuesto(a),No,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Poco importante,No respondió,No,No respondió,Muy bien,No,Más o menos,Blanco(a)
44,Masculino,Estados Unidos,Ohio,No,No,No,Más de 1000,Si,Tal vez,Si,No lo sé,Fácil,Tal vez,Si,No respondió,No sé,Conocía muy pocas,No lo sé,Con algunos de mis jefes anteriores,Neutral,Tal vez,No lo sé,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Normal,No,Más o menos,Blanco(a)
38,Otro,Estados Unidos,Ohio,No,No sé,Si,Más de 1000,Si,No,No,Si,Más o menos,Tal vez,Si,No respondió,"Si, todos lo hicieron",Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Neutral,Tal vez,Seguramente si,No respondió,Raramente,A veces,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,Muy bien,"Si, lo he visto",Más o menos,Blanco(a)
46,Masculino,Estados Unidos,Ohio,No,Si,Si,500-1000,Si,No,Si,Si,Fácil,Si,Si,No respondió,Algunos lo hicieron,"No, las conocí después",No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,No,No respondió,Raramente,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Importante,No respondió,No,No respondió,Me entiende(n),"Si, lo he visto",Poco,Blanco(a)
27,Otro,Estados Unidos,Ohio,No,No sé,Si,500-1000,Si,No,No,No lo sé,Difícil,No,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Neutral,Si,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,Tal vez/No estoy seguro(a),Medianamente importante,No respondió,No,No respondió,Indiferente,Tal vez/No estoy seguro(a),Poco,Blanco(a)
39,Otro,Estados Unidos,Ohio,No,Si,Si,100-500,Si,No,Si,Si,Difícil,Tal vez,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,No,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Poco importante,No respondió,No,No respondió,Normal,"Si, lo he visto",Poco,Prefiero no responder
33,Femenino,Estados Unidos,Montana,No,Si,Si,26-100,No lo sé,No,No,No,No sé,No,No,No respondió,Algunos lo hicieron,"Si, las conocía","Si, siempre",Con algunos de mis jefes anteriores,No estoy dispuesto(a),Si,Seguramente si,No respondió,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Poco importante,No respondió,No,No respondió,Indiferente,No,Nada,Blanco(a)
38,Otro,Estados Unidos,Colorado,Si,Si,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,Algunos lo hicieron,"No, las conocí después",No,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Tal vez,Si,Si,A veces,A menudo,"Depende, si me lo preguntan",Si,1-25%,No,No respondió,No cambió,No,No respondió,Normal,No,Nada,No respondió
26,Femenino,Estados Unidos,California,No,No sé,No,Más de 1000,Si,No,Si,No,Fácil,No,No,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Neutral,No respondió,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,Indiferente,"Si, lo he visto",Poco,Asiático(a)
50,Masculino,Estados Unidos,Pensilvania,No,Si,Si,100-500,Si,No,Si,No lo sé,Difícil,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,No lo sé,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Si,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Moderadamente importante,No respondió,No,No respondió,No creo que le(s) importe,No,Poco,No respondió
31,Masculino,Estados Unidos,Utah,No,Si,Si,100-500,No lo sé,No,Si,No lo sé,Fácil,Si,Si,No respondió,No sé,Conocía muy pocas,No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No respondió,Si,Si,Raramente,No tengo una enfermedad mental,No respondió,No respondió,No respondió,No,Importante,No respondió,No,No respondió,Me entiende(n),"Si, me ha pasado",Lo suficiente,Blanco(a)
30,Masculino,Estados Unidos,California,No,Si,Si,26-100,Si,No,No,No,Fácil,Tal vez,No,No respondió,Algunos lo hicieron,Conocía algunas,No,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Tal vez,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,No,Moderadamente importante,No respondió,No,No respondió,Bien,"Si, me ha pasado",Poco,Blanco(a)
30,Masculino,Estados Unidos,Minnesota,No,No sé,Si,Más de 1000,Si,No,No,No lo sé,Difícil,Tal vez,Tal vez,No respondió,Algunos lo hicieron,Conocía algunas,"Si, siempre",Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Muy bien,"Si, lo he visto",Poco,Blanco(a)
24,Femenino,Estados Unidos,Washington,No,Si,Si,Más de 1000,Si,No,Si,Si,Difícil,Tal vez,Tal vez,No respondió,"Si, todos lo hicieron","Si, las conocía",No lo sé,Con algunos de mis jefes anteriores,Muy dispuesto,No,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Medianamente importante,No respondió,No,No respondió,Normal,"Si, me ha pasado",Más o menos,Blanco(a)
30,Masculino,Estados Unidos,Texas,Si,Si,Si,No respondió,No respondió,No,No respondió,No respondió,No respondió,No respondió,No respondió,Si,Algunos lo hicieron,"Si, las conocía",A veces,Con algunos de mis jefes anteriores,Muy dispuesto,Si,Si,Si,A veces,A menudo,"No, influiriá negativamente",Si,26-50%,"Si, me ha pasado",No respondió,Cambió negativamente,No,No respondió,Indiferente,"Si, me ha pasado",Poco,Blanco(a)
31,Otro,Estados Unidos,California,No,Si,Si,100-500,Si,No,Si,No,Fácil,No,No,No respondió,"Si, todos lo hicieron",Conocía algunas,No lo sé,"No, con ninguno de mis supervisores anteriores",No dispuesto(a),Si,Si,Si,Raramente,A menudo,No respondió,No respondió,No respondió,No,Medianamente importante,No respondió,No,No respondió,Bien,Tal vez/No estoy seguro(a),Poco,Blanco(a)
27,Femenino,Estados Unidos,Illinois,No,Si,Si,100-500,Si,Tal vez,Si,No lo sé,Fácil,Si,Tal vez,No respondió,No sé,Conocía muy pocas,No lo sé,"No, con ninguno de mis supervisores anteriores",Dispuesto(a),Si,Si,Si,A veces,A menudo,No respondió,No respondió,No respondió,"Si, me ha pasado",Moderadamente importante,No respondió,Si,Si,Indiferente,"Si, lo he visto",Poco,Blanco(a)
52,Femenino,Estados Unidos,Washington,No,Si,No,500-1000,Si,No,Si,Si,Difícil,No,Tal vez,No respondió,"Si, todos lo hicieron","Si, las conocía",No,"No, con ninguno de mis supervisores anteriores",Muy dispuesto,Si,No,No respondió,No tengo una enfermedad mental,No tengo una enfermedad mental,No respondió,No respondió,No respondió,"Si, lo he visto",Muy poco importante,No respondió,No,No respondió,Normal,No,Poco,Blanco(a)
37,Otro,Estados Unidos,Oregon,No,No sé,No,1-5,No,No,No,No lo sé,No sé,No,No,No respondió,No sé,No me ofrecieron ninguna,No,"No, con ninguno de mis supervisores anteriores",No estoy dispuesto(a),No respondió,Seguramente si,No respondió,Raramente,A menudo,No respondió,No respondió,No respondió,"Si, lo he visto",Medianamente importante,No respondió,No,No respondió,Muy mal,No,Poco,Blanco(a)
